c	lam	n	number_of_features	test_accuracy	test_precision	test_recall	test_average	
1.0	1.0	1.0	131.0	0.878049	0.881566	0.858040	0.872551	
25.0	1.0	1.0	114.0	0.873532	0.880161	0.876959	0.876884	
50.0	1.0	1.0	106.0	0.865402	0.871959	0.869701	0.869021	
1.0	25.0	1.0	131.0	0.854562	0.846593	0.865242	0.855466	
25.0	25.0	1.0	114.0	0.841915	0.854716	0.858837	0.851823	
50.0	25.0	1.0	106.0	0.853659	0.859170	0.847539	0.853456	
1.0	50.0	1.0	131.0	0.859079	0.862295	0.867685	0.863020	
25.0	50.0	1.0	114.0	0.852755	0.838411	0.833421	0.841529	
50.0	50.0	1.0	106.0	0.865402	0.864952	0.862743	0.864366	
1.0	1.0	2.0	4094.0	0.953026	0.947365	0.953569	0.951320	
25.0	1.0	2.0	2309.0	0.933153	0.918301	0.929322	0.926925	
50.0	1.0	2.0	2003.0	0.942186	0.930895	0.939808	0.937630	
1.0	25.0	2.0	4094.0	0.915989	0.901659	0.906391	0.908013	
25.0	25.0	2.0	2309.0	0.938573	0.925546	0.943382	0.935833	
50.0	25.0	2.0	2003.0	0.942186	0.932074	0.938358	0.937539	
1.0	50.0	2.0	4082.0	0.931346	0.919261	0.920668	0.923758	
25.0	50.0	2.0	2311.0	0.934959	0.928944	0.924432	0.929445	
50.0	50.0	2.0	2004.0	0.924119	0.898025	0.926393	0.916179	
1.0	1.0	3.0	56491.0	0.953930	0.953660	0.951809	0.953133	
25.0	1.0	3.0	13918.0	0.971996	0.972992	0.968191	0.971060	
50.0	1.0	3.0	10386.0	0.957543	0.958117	0.952281	0.955980	
1.0	25.0	3.0	56504.0	0.955736	0.963331	0.949167	0.956078	
25.0	25.0	3.0	13911.0	0.955736	0.956720	0.943030	0.951829	
50.0	25.0	3.0	10390.0	0.960253	0.961340	0.961700	0.961098	
1.0	50.0	3.0	56476.0	0.937669	0.954081	0.915564	0.935771	
25.0	50.0	3.0	13929.0	0.960253	0.963647	0.959738	0.961213	
50.0	50.0	3.0	10391.0	0.953930	0.944941	0.952734	0.950535	
